 , ,PSO, , ,GA, 
File,Error PSO,Running time PSO,Generations PSO,Error GA,Running time GA,Generations GA
ga-dem10_r25_1.in,0.32577338236713366,928.8428270816803,20,0.32483900657074033,917.5313346385956,18
ga-dem10_r30_1.in,0.3618265640279514,914.7468464374542,21,0.07953594883806583,907.0261611938477,19
ga-dem10_r45_1.in,0.25247378085448646,910.925867319107,22,0.09035112251103562,925.4244382381439,20
ga-dem10_r50_1.in,0.1962555804128,903.3680529594421,20,0.10349407435557974,906.2866687774658,19
ga-dem1_r25_1.in,0.32808248874274154,927.5332508087158,20,0.14166672941568453,900.9588334560394,20
ga-dem1_r30_1.in,0.4502421193485591,921.8147304058075,21,0.1890048795236957,918.3432919979095,19
ga-dem1_r45_1.in,0.2188289771534639,917.8391625881195,22,0.07378742650718817,905.8580927848816,19
ga-dem1_r50_1.in,0.07145041768711748,909.7243933677673,22,0.03446143729448738,916.7011520862579,19
ga-dem2_r25_1.in,0.32577688009391625,919.5023691654205,20,0.36218659361217453,909.2010917663574,18
ga-dem2_r30_1.in,0.5113204256864637,904.0032200813293,20,0.21915407253392563,902.9698603153229,19
ga-dem2_r45_1.in,0.15059672200318053,920.3281199932098,22,0.13408056942428392,919.83482670784,19
ga-dem2_r50_1.in,0.2367195884103073,917.8431997299194,21,0.05298015121634333,918.4702351093292,19
ga-dem3_r25_1.in,0.2995438202517739,925.3360810279846,20,0.2776819318163262,913.8617887496948,18
ga-dem3_r30_1.in,0.8472770028200501,915.2722647190094,20,0.8900972394074298,919.2053587436676,19
ga-dem3_r45_1.in,0.22509283349474452,909.2215220928192,22,0.10059826812496633,919.5789132118225,19
ga-dem3_r50_1.in,0.1086014301291527,906.7867312431335,21,0.04822021083984295,913.3049201965332,19
ga-dem4_r25_1.in,0.435104766949451,915.4271614551544,21,0.36716314046898113,918.873945236206,19
ga-dem4_r30_1.in,0.26918112710593717,921.9580490589142,21,0.1839103424489635,907.2863488197327,18
ga-dem4_r45_1.in,0.15524530631182362,921.8726215362549,21,0.1207939415789501,910.3401560783386,19
ga-dem4_r50_1.in,0.17392082706607848,920.371992111206,22,0.10787336566868877,913.1946902275085,19
ga-dem5_r25_1.in,0.17086225478846653,903.5927925109863,21,0.24954179554554776,923.233213186264,19
ga-dem5_r30_1.in,0.3186286077994424,923.5242547988892,22,0.15189669648056817,925.6994972229004,20
ga-dem5_r45_1.in,0.08772812161001987,918.4720528125763,21,0.04521325157961802,911.4865760803223,19
ga-dem5_r50_1.in,0.21048039010221503,856.4166722297668,23,0.041378118322009654,915.6844491958618,19
ga-dem6_r25_1.in,0.3510283238644554,907.0228083133698,21,0.36211812494455997,903.4150698184967,18
ga-dem6_r30_1.in,0.27746843309112673,923.9991428852081,20,0.33001907048593476,919.1046121120453,20
ga-dem6_r45_1.in,0.04569329379098346,904.4538862705231,20,0.12704192901665334,909.6186563968658,19
ga-dem6_r50_1.in,0.4057515614208612,905.4205133914948,21,0.1379863006559426,911.964269399643,19
ga-dem7_r25_1.in,0.441068900225786,907.9523043632507,21,0.19784164110012875,910.9203145503998,19
ga-dem7_r30_1.in,0.08399573198191894,921.8115246295929,21,0.15935771494995588,903.2045123577118,19
ga-dem7_r45_1.in,0.11925158998282283,910.296483039856,22,0.035458153782140824,915.8145976066589,20
ga-dem7_r50_1.in,0.1999951175947737,917.2246732711792,21,0.053380901357837296,914.885332107544,19
ga-dem8_r25_1.in,0.2948144993293138,919.5214891433716,19,0.25826541677446513,903.6139163970947,19
ga-dem8_r30_1.in,0.20026784541166054,906.0497040748596,20,0.21786715230563333,909.5917537212372,20
ga-dem8_r45_1.in,0.18355329163345682,919.0224120616913,21,0.02039067110093612,914.808109998703,19
ga-dem8_r50_1.in,0.01728492735798919,911.1524155139923,20,0.10862828934507991,914.0119893550873,19
ga-dem9_r25_1.in,0.13619908359897245,922.7125687599182,22,0.3220721020340289,916.4808704853058,18
ga-dem9_r30_1.in,0.22066633638973637,929.6004178524017,23,0.09567848803749351,915.2570700645447,20
ga-dem9_r45_1.in,0.09014270044000758,905.2755877971649,22,0.04268364054021582,914.1997032165527,19
ga-dem9_r50_1.in,0.10938783310822554,919.9408221244812,22,0.18486570992831178,915.9625492095947,20
no-dem10_r25_1.in,0.07887514536110618,902.694611787796,20,0.21715367103750619,922.4318330287933,19
no-dem10_r30_1.in,0.4332199725233977,919.0372104644775,23,0.41932662377882873,903.8757376670837,19
no-dem10_r45_1.in,0.05514972803615087,906.0500316619873,20,0.3099191117163511,924.0381984710693,19
no-dem10_r50_1.in,0.018276124622020207,905.8223600387573,20,0.06276622648748764,921.5919744968414,20
no-dem1_r25_1.in,0.36389575915991007,925.0397531986237,21,0.2863116353756751,923.8700907230377,19
no-dem1_r30_1.in,0.18043289585308694,904.1382534503937,21,0.08980836574543205,923.2629497051239,21
no-dem1_r45_1.in,0.23202773187215872,926.8264994621277,21,0.11589613863284645,919.1242184638977,19
no-dem1_r50_1.in,0.05732464796879834,920.8094756603241,22,0.1553665854180922,905.8750445842743,18
no-dem2_r25_1.in,0.17039310566729862,924.7356064319611,22,0.31276522524445866,904.7282354831696,19
no-dem2_r30_1.in,0.3684993540538261,929.7422609329224,22,0.1589781026734249,914.5881628990173,20
no-dem2_r45_1.in,0.05299338763529865,918.8821747303009,20,0.024895115435884085,917.2645936012268,20
no-dem2_r50_1.in,0.2715074035058218,918.5729503631592,21,0.21299849110325025,910.5615012645721,19
no-dem3_r25_1.in,0.17068421075287624,924.3370661735535,19,0.1948183807291761,901.2397549152374,19
no-dem3_r30_1.in,0.29468909899399515,916.8498368263245,22,0.08862563315152472,921.8344423770905,20
no-dem3_r45_1.in,0.12063703386994722,917.9291415214539,23,0.12667378388460887,920.4064147472382,19
no-dem3_r50_1.in,0.05466441262157853,907.5464353561401,22,0.09804802141193661,904.200279712677,19
no-dem4_r25_1.in,0.3683483200342505,923.4692311286926,20,0.14566955525520486,909.5538580417633,20
no-dem4_r30_1.in,0.28770876069854684,902.2906069755554,19,0.10732345697305311,920.264077425003,20
no-dem4_r45_1.in,0.06593341483136585,920.4501481056213,22,0.09072424611783174,913.5821542739868,20
no-dem4_r50_1.in,0.11730227110161592,910.4934828281403,20,0.11965945036832916,915.8577926158905,20
no-dem5_r25_1.in,0.27281116307038245,925.096137046814,22,0.24485588996583,915.3142147064209,19
no-dem5_r30_1.in,0.22822082016514394,920.0166575908661,21,0.21229646794428844,907.64377617836,19
no-dem5_r45_1.in,0.03677592130394858,926.0043494701385,21,0.07540688199675788,910.0914525985718,18
no-dem5_r50_1.in,0.1653211593911238,895.9418339729309,24,0.12163813008662008,913.8640811443329,19
no-dem6_r25_1.in,0.4571831573127724,911.5605375766754,20,0.2873388386143199,920.5846660137177,19
no-dem6_r30_1.in,0.17921323149263235,928.639817237854,24,0.11503052261423857,904.1000092029572,19
no-dem6_r45_1.in,0.03545035439866939,916.510805606842,22,0.10420622619181566,919.5306317806244,20
no-dem6_r50_1.in,0.3944953514909941,900.3409335613251,22,0.03025031235674753,915.095618724823,19
no-dem7_r25_1.in,0.41060188211920234,920.2446444034576,21,0.20622518052005623,923.298742055893,21
no-dem7_r30_1.in,0.8044700642580129,910.6199300289154,21,0.8342478886284734,922.1185631752014,20
no-dem7_r45_1.in,0.14514404834005074,924.0367169380188,20,0.04254487550406014,921.1013126373291,20
no-dem7_r50_1.in,0.10813167644957658,900.9164063930511,22,0.06360063299431232,909.9504153728485,19
no-dem8_r25_1.in,0.4046217827581979,901.0688104629517,18,0.10425182143160101,917.1766772270203,19
no-dem8_r30_1.in,0.2644493066882285,907.2315700054169,21,0.11871255215514023,909.7481980323792,19
no-dem8_r45_1.in,0.05550992514904797,925.3488168716431,23,0.03434388721036201,920.4003925323486,20
no-dem8_r50_1.in,0.021114137847864912,918.2201545238495,20,0.05255890631700118,901.7056231498718,18
no-dem9_r25_1.in,0.3542124886669828,918.7778239250183,23,0.1590458679345456,905.4168665409088,19
no-dem9_r30_1.in,0.15002853763914986,921.9036042690277,21,0.18671985751629186,912.2535190582275,20
no-dem9_r45_1.in,0.05659391949221059,929.1848874092102,21,0.14589893802653645,906.7156476974487,19
no-dem9_r50_1.in,0.2651863124567498,918.1138324737549,20,0.15199520708941203,921.2781751155853,19
uu-dem10_r25_1.in,0.18969476310705224,909.9578413963318,19,0.1294961261793357,913.0676980018616,18
uu-dem10_r30_1.in,0.3846269228694017,916.2927947044373,19,0.1383405864256128,916.7962973117828,19
uu-dem10_r45_1.in,0.2727507590803027,927.1483390331268,19,0.3296446376907156,932.5238230228424,20
uu-dem10_r50_1.in,0.047681636927029425,916.5197601318359,20,0.09255197175098424,900.471054315567,18
uu-dem1_r25_1.in,0.12413348970750324,926.5838799476624,22,0.13097222964376676,910.2119498252869,19
uu-dem1_r30_1.in,0.06951051424053599,915.9650950431824,21,0.13348868053609733,911.0454461574554,19
uu-dem1_r45_1.in,0.272473036342032,917.313972234726,20,0.08611168188118355,922.7611649036407,20
uu-dem1_r50_1.in,0.13717456065166625,921.3536286354065,21,0.1699909530569406,922.717214345932,20
uu-dem2_r25_1.in,0.23812180754260237,913.7388000488281,19,0.31821668179019214,922.6222133636475,19
uu-dem2_r30_1.in,0.21329571207851292,926.9678237438202,21,0.11585192808202821,911.1977508068085,19
uu-dem2_r45_1.in,0.03331374316630886,923.5592586994171,24,0.10796229126255437,922.6984231472015,20
uu-dem2_r50_1.in,0.13223862383562562,902.0740087032318,21,0.09005435303586826,923.1060185432434,21
uu-dem3_r25_1.in,0.348056356813713,915.5485506057739,21,0.4433666196254843,915.0099637508392,19
uu-dem3_r30_1.in,0.2378756409432749,928.8429043292999,21,0.050995547383491956,918.703357219696,19
uu-dem3_r45_1.in,0.20756399951886723,918.807900428772,22,0.14847897230450716,909.8906171321869,19
uu-dem3_r50_1.in,0.17810209466481247,916.3780817985535,20,0.07539323241065865,911.2956435680389,20
uu-dem4_r25_1.in,0.391669294692292,924.1717529296875,20,0.10498303221369283,901.4543249607086,19
uu-dem4_r30_1.in,0.23329911133879033,921.8487639427185,23,0.09853590577196501,923.8984005451202,19
uu-dem4_r45_1.in,0.2588993776930759,912.7997438907623,21,0.044675943011152505,919.4703948497772,19
uu-dem4_r50_1.in,0.368070406883302,901.742595911026,19,0.026016978564303822,913.0385890007019,20
uu-dem5_r25_1.in,0.20280684756902403,902.5609729290009,17,0.2827558937987654,906.5578362941742,18
uu-dem5_r30_1.in,0.44240473919757295,923.4349386692047,19,0.43695310588890246,929.7935762405396,19
uu-dem5_r45_1.in,0.158214708042296,907.980726480484,19,0.023547070152013905,921.3076066970825,20
uu-dem5_r50_1.in,0.21655995388767277,909.9998853206635,21,0.0510544861633954,920.6571109294891,20
uu-dem6_r25_1.in,0.30030622205318536,928.2240526676178,20,0.3607650319329659,928.5518386363983,20
uu-dem6_r30_1.in,0.2723275376878007,909.7005658149719,20,0.13876634065175236,902.5029747486115,19
uu-dem6_r45_1.in,0.23507317930722613,924.4881145954132,20,0.09766425827466921,924.788369178772,20
uu-dem6_r50_1.in,0.07902656549880463,905.1970293521881,22,0.09193049437303613,911.739837884903,20
uu-dem7_r25_1.in,0.40700752072017815,920.2538154125214,22,0.32178842227212695,910.6423971652985,19
uu-dem7_r30_1.in,0.14239623580542732,910.9859571456909,20,0.39218788424236156,927.689909696579,19
uu-dem7_r45_1.in,0.03005289223456139,909.2330207824707,20,0.023474809872351298,924.07159948349,19
uu-dem7_r50_1.in,0.051709418990665765,900.8978679180145,20,0.02176564361155273,927.052384853363,20
uu-dem8_r25_1.in,0.272933294453129,909.0477659702301,22,0.2473958803879708,930.8451838493347,20
uu-dem8_r30_1.in,0.14515580647386594,923.353030204773,21,0.061910802226215644,915.2635180950165,19
uu-dem8_r45_1.in,0.24049974197359433,913.3860332965851,20,0.07319475173051092,916.5324625968933,19
uu-dem8_r50_1.in,0.05803123619723973,922.2430453300476,21,0.07156910890014517,915.533390045166,20
uu-dem9_r25_1.in,0.565136855117258,917.4064514636993,20,0.30392548756012316,917.678994178772,20
uu-dem9_r30_1.in,0.400016234101786,922.588077545166,20,0.18944489350576546,904.5529587268829,19
uu-dem9_r45_1.in,0.06747007393391395,917.2390592098236,21,0.04841075901730002,927.3243062496185,20
uu-dem9_r50_1.in,0.41925636571760555,909.2856841087341,19,0.10408135718498181,910.974062204361,19
Mean PSO,Variance PSO,Running time PSO,Generations PSO,Mean GA,Variance GA,Running time GA,Generations GA
0.2293718182096073,0.022208225800066123,915.4733165522416,20.883333333333333,0.16541814300375968,0.018981175183727102,915.0399144232273,19.258333333333333
